,Name,DMSO1,DMSO2,DMSO3,24_hr_ENZA1,24_hr_ENZA2,24_hr_ENZA3,48_hr_ENZA1,48_hr_ENZA2,48_hr_ENZA3,LT_ENZA1,LT_ENZA2,LT_ENZA3
91,Mal,31535.93006,34657.49286,34452.38796,37190.36309,36035.87711,40332.1667,29154.46647,30766.6631,30275.19817,20340.89071,22630.94225,21440.65565
92,Malonyl-CoA,0.411263548,0.313132494,0.413647613,0.324386844,0.245283579,0.313358426,0.289645127,0.265391421,0.215597734,1.720727749,1.85159468,2.192372031
93,Met,15114.6028,13157.86388,11891.53282,17720.35016,15624.56909,16447.88629,17503.02164,17400.65538,16544.09699,32179.55352,19923.08862,15642.22457
94,NAD+,206.9331852,249.7886975,257.184891,436.0025801,386.0747508,396.3352483,442.8393803,443.9897797,477.5831497,553.1633691,776.4749127,775.7099783
95,NADH,0,0,0,4.047362021,5.2633187,,0,0,0,0,0,0
96,NADP+,12.57272239,12.54074836,4.089994107,16.8976838,6.284765069,31.49359482,8.821001059,22.02193544,17.27322877,25.71492323,18.65564317,18.44191201
97,Nicotinamide,11447.56,9302.019282,9724.254708,12186.31392,9383.375534,7819.809925,9907.357389,10456.14,8685.367348,23133.56535,17410.73512,11713.57088
98,Ornithine,6107.369129,6165.84334,5299.77459,7712.321243,6731.439962,6738.776248,8227.04428,7206.533285,7726.838025,10107.35882,4815.436939,3740.455545
99,Orotate,99.21692218,98.4118307,114.806152,56.70974821,28.04393094,19.18885367,7.241896186,12.5184575,23.13681653,0,0,0
100,Orotidine,268.5695977,266.702433,279.6017207,386.247368,287.7806716,264.1562335,293.0845604,278.5706266,299.6759689,112.6502309,120.9941156,121.6796587
101,P-Choline,131016.5601,122936.9478,139383.1268,157214.7206,131092.7089,123949.8577,119620.554,134130.0392,125491.932,74141.60323,95542.74646,102822.0215
102,P-Creatine,29508.61644,27931.42873,29128.89751,39620.69667,32840.12014,33647.77466,31223.88268,33141.64653,33089.00526,36684.84147,44281.89337,44556.91552
103,P-EtA,226.0155014,176.1506532,228.8530583,391.2688099,472.1560869,619.6993529,399.1051642,547.1771005,419.7619222,11501.98883,14273.53493,14745.53291
104,P-Ser,209.3865589,311.6473929,192.2102534,139.8063406,130.3640543,258.6241086,366.1147511,197.0169016,482.7840458,214.7645425,151.5192813,124.8140683
105,Palmitate,64729.71597,62276.31341,46614.58058,67820.31009,66214.85628,95359.28176,56885.51189,66820.62856,62379.05869,78196.58878,105534.6755,123025.2884
106,Pantothenate,40360.26987,38200.1314,40553.26949,62800.59865,55198.2953,55649.28302,55491.32627,57935.30298,52098.86499,50693.23446,64358.35997,64413.87613
107,PC(34:2),1276.306098,1178.249398,1267.612728,1594.849907,1662.474994,1943.923534,1357.62839,1487.571725,1281.07585,2209.460336,3087.629752,3024.562521
108,PC(38:4),1676.523411,1566.625564,1616.914367,2293.413654,2547.565644,2880.390485,2150.474815,2256.922692,2069.11376,4017.418799,5702.320505,5241.370107
109,PEP,10.66712235,15.97454834,17.46965233,12.42329251,6.108863313,9.115557316,12.66006356,10.82814693,17.22126817,5.054643615,11.17107999,10.56226999
110,Phe,19023.78379,15727.15058,13770.02369,19951.26323,17381.68554,17964.68024,19644.05633,18802.40067,18078.8543,42148.15897,27945.35436,21212.60635
111,Pipecolate,1085.361586,1032.478463,824.335934,1219.099528,1168.494957,1232.257462,1395.740546,1238.38178,1286.666588,2006.313475,1293.415323,1160.51401
112,PO4,7056.095108,5310.482506,4274.79703,5795.148314,5301.070954,5340.567948,7766.890969,6155.005858,5364.91939,16785.23452,8984.836687,6283.196721
113,PPi,110.0437701,93.14703064,103.5905245,293.4991251,266.6569767,150.2798468,150.3798729,121.8779974,155.082835,521.6332855,407.1964223,223.4300769
114,Pro,86461.45083,79617.11139,79761.14225,118227.0338,101385.7645,101775.8827,102808.0422,104231.7029,100662.7294,101240.9568,89919.79083,85143.48687
115,Pro-OH,92047.21226,91605.32437,92520.94581,117744.6154,104921.8364,109614.387,100258.0651,107064.312,106164.6442,111014.4714,108724.6876,106771.6333
116,Propanoyl-CoA,4.496777658,4.121929558,4.826281674,6.430825351,6.494957285,5.85677496,5.82621822,6.72383916,5.453810641,3.589720384,4.416107646,3.663725326
117,PRPP,0,0,0,8.600670245,4.848807546,7.84247887,3.638612288,11.52132528,6.881951746,5.505960554,2.627750971,13.69287387
118,Pyr,949.2163607,668.445626,588.6943547,817.3340253,668.4092015,709.5274366,1094.54224,915.5448472,771.8607584,3227.512764,1870.686085,1377.555453
119,R5P,2.477614491,,8.134142605,17.7591269,5.35364262,,7.568458686,6.656080298,10.49029414,5.369335913,6.615589816,14.27078454
120,Rib,202.5349087,119.330147,94.6485327,159.8878081,142.3599015,106.8276545,207.5298464,164.5673012,141.5236262,807.7018787,389.6958927,221.8632486
121,S7P,27.4387511,24.29576741,36.34324101,44.08879267,45.79318937,64.52529054,32.6985964,16.70428336,32.9499577,5.354075646,12.34137539,
122,SAM,3553.867249,3412.630191,3505.848085,5778.709778,4931.288562,4707.492175,4613.274735,5164.929404,5261.630147,3819.374766,4245.754149,4338.517523
123,Sarc,2931.601211,2250.295908,2632.668709,4459.053086,3868.192958,3426.775654,4112.645922,4155.946519,3539.202789,4927.463737,5474.556196,5808.813106
124,Ser,21195.04333,22215.92575,21093.34216,24353.84312,21646.39588,23175.47814,21633.07736,21601.91824,23583.99299,22133.03951,21044.72347,20485.47842
125,Sorbitol,16266.42462,10726.6488,7959.436818,12012.10187,10129.07098,10811.99614,17604.75519,13250.55016,11897.1061,45976.01545,24428.75748,16584.14244
126,Succ,1724.463407,885.2050155,1628.216688,1912.885347,1884.920918,2074.783016,2333.15474,2052.974007,1612.446488,3530.20553,2544.783924,3367.731223
127,Succinyl-CoA,43.23923445,55.87505551,53.72575133,70.76313058,63.58786189,67.62074089,59.2814089,60.03895906,76.11366415,89.43621271,97.94503943,91.12537638
128,T,27.94917489,42.44265782,46.57982322,31.70764258,44.65371381,59.75392895,42.31260593,35.67438526,26.51836161,178.078205,108.0224785,62.79303279
129,Thr,19722.53298,18798.76649,18715.48007,24387.3334,22150.42884,22629.59142,20143.94526,22492.92797,21138.44348,19942.82228,18855.23965,18767.83025
130,Trp,3944.443878,3352.630659,2814.839694,3685.350841,3304.104799,3339.383188,4189.689857,3963.686192,3585.20469,10758.59871,6247.588482,4861.622951
131,Tyr,8658.040206,6095.194452,5707.103901,7111.557519,5849.538859,5454.094031,7290.618035,7036.18186,5849.304521,19291.86462,11498.4052,8989.847148
132,Tyramine,609.8255541,535.3772408,378.5721862,281.994899,297.1871737,457.4297412,656.2784163,619.0885045,550.3291143,458.6812508,473.3633047,628.5316996
133,UDP,346.6088761,361.6264987,329.5158044,462.1275839,396.7193878,355.4505085,445.7539725,435.6505278,438.8878956,486.0038697,503.8961594,490.3476915
134,UDP-Glc,696.6163949,819.3862856,842.7710077,993.4318337,770.5237601,722.3632132,654.5510858,580.8663128,686.8550563,414.2904444,507.478208,544.2326865
135,UDP-GlcNAc,6507.215726,7239.227709,7375.38746,10603.47647,8760.449899,8158.837064,9747.077463,9199.001434,11360.64249,9692.461022,12145.66051,11763.36542
136,UMP,141.5052729,180.5602169,119.8355922,107.1488182,99.22354058,95.83613973,129.1130561,102.8634145,105.2430119,93.15675321,118.1714331,122.7632151
137,Uracil,1302.613026,903.0502489,928.4256924,1308.746019,1184.814962,1110.760697,1341.45196,1185.998353,1191.849022,3164.201504,1876.390334,1371.550351
138,Uric Acid,452.3236744,276.3496389,158.550548,290.6717874,306.3585074,257.4767895,518.9063824,386.719446,295.4610241,1494.747472,794.7533639,516.3840749
139,UTP,851.8718875,826.2664361,858.7692163,1325.4477,1041.120313,951.5459258,1021.920922,1152.321405,1149.273465,744.0831981,906.7512063,1098.991176
140,Val,16686.01357,12135.74574,7579.941049,23306.71684,18238.18094,19689.97801,16542.49831,16211.37187,15418.60622,39902.54806,22787.81829,22792.75301
141,Vit-C,62.80158188,68.8010377,60.94998232,44.74382396,41.14520052,31.28209192,33.16885593,30.42690219,42.7238661,46.67685058,51.26342631,44.60781198
142,Xanthine,1690.33007,1377.31381,1263.671892,1662.43038,1483.287257,1485.748679,1855.352331,1695.25331,1569.702823,4515.444483,2521.485505,2008.447767
